,outdoor_temp,indoor_temp
2022-01-01 00:00:00,14.999999999999996,23.064052345967664
2022-01-01 01:00:00,14.982066489415704,21.69836385730879
2022-01-01 02:00:00,14.964132988059575,22.275151282911697
2022-01-01 03:00:00,14.946199505159807,23.53551314971744
2022-01-01 04:00:00,14.928266049944547,23.160384595144425
2022-01-01 05:00:00,14.910332631641964,20.313755383287784
2022-01-01 06:00:00,14.892399259480179,22.239328343473606
2022-01-01 07:00:00,14.874465942687284,21.136089385971033
2022-01-01 08:00:00,14.856532690491381,21.182434417255582
2022-01-01 09:00:00,14.838599512120496,21.694458453150425
2022-01-01 10:00:00,14.82066641680266,21.426110212841145
2022-01-01 11:00:00,14.802733413765825,22.734546848339555
2022-01-01 12:00:00,14.78480051223789,22.039517776370783
2022-01-01 13:00:00,14.766867721446754,21.398361788637505
2022-01-01 14:00:00,14.74893505062019,21.718756737807443
2022-01-01 15:00:00,14.73100250898598,21.606774578272866
2022-01-01 16:00:00,14.71307010577178,22.765386083734786
2022-01-01 17:00:00,14.6951378502052,21.064355521254722
2022-01-01 18:00:00,14.677205751513785,21.58078827680228
2022-01-01 19:00:00,14.659273818924966,20.41183164259077
2022-01-01 20:00:00,14.641342061666133,18.711144390332535
2022-01-01 21:00:00,14.623410488964542,21.915959644336812
2022-01-01 22:00:00,14.605479110047394,22.124984109864243
2022-01-01 23:00:00,14.58754793414176,20.516589773007734
2022-01-02 00:00:00,14.569616970474605,23.52671632103507
2022-01-02 01:00:00,14.551686228272821,19.800802948228515
2022-01-02 02:00:00,14.533755716763135,21.299134088977763
2022-01-02 03:00:00,14.515825445172208,21.064398694491388
2022-01-02 04:00:00,14.497895422726543,22.78256875663111
2022-01-02 05:00:00,14.479965658652507,22.717355335765536
2022-01-02 06:00:00,14.462036162176375,21.401151041914556
2022-01-02 07:00:00,14.44410694252424,21.622573213854597
2022-01-02 08:00:00,14.42617800892209,20.354832053262097
2022-01-02 09:00:00,14.40824937059574,19.26002846883565
2022-01-02 10:00:00,14.390321036770846,20.89111995435093
2022-01-02 11:00:00,14.372393016672952,21.393588270771275
2022-01-02 12:00:00,14.354465319527382,22.46573721268046
2022-01-02 13:00:00,14.336537954559347,22.436033644240347
2022-01-02 14:00:00,14.318610930993856,20.844534275691434
2022-01-02 15:00:00,14.300684258055732,20.927765675230237
2022-01-02 16:00:00,14.282757944969664,20.179722829429874
2022-01-02 17:00:00,14.264832000960094,19.806465262917033
2022-01-02 18:00:00,14.246906435251343,19.518420452900124
2022-01-02 19:00:00,14.228981257067474,23.17367352093854
2022-01-02 20:00:00,14.211056475632383,20.711453465811584
2022-01-02 21:00:00,14.193132100169766,20.78123890840579
2022-01-02 22:00:00,14.17520813990308,19.964725453940382
2022-01-02 23:00:00,14.157284604055619,21.993218816237473
2022-01-03 00:00:00,14.13936150185041,19.60003830262709
2022-01-03 01:00:00,14.121438842510269,20.99940360403706
2022-01-03 02:00:00,14.103516635257808,20.314885102332106
